RT [min] (Points),Molecular Weight (Points)
12.251,556.08052
12.263,356.07411
12.272,1872.38882
12.33,500.15312
12.334,842.18845
12.351,290.07903
12.351,644.17427
12.351,376.07687
12.363,854.24847
12.376,730.17241
12.378,392.01979
12.378,192.06334
12.379,354.09513
12.381,454.02034
12.382,820.20682
12.394,358.12617
12.427,244.00415
12.437,452.13185
12.445,376.07688
12.446,842.18851
12.474,362.10338
12.475,384.08537
12.483,427.11146
12.484,900.25395
12.514,316.1158
12.523,934.22926
12.536,480.12684
12.541,946.23787
12.548,914.21261
12.554,466.11127
12.562,840.23298
12.564,374.12112
12.565,118.04199
12.566,326.10001
12.567,146.03687
12.567,394.08751
12.574,516.08821
12.584,380.16806
12.603,448.10068
12.614,488.09309
12.669,449.10402
12.677,224.06851
12.677,386.12126
12.677,454.10876
12.677,522.09645
12.696,377.16843
12.708,974.29064
12.71,996.27238
12.712,508.17962
12.713,626.11528
12.726,576.16685
12.73,978.26181
12.738,644.1544
12.821,612.16932
12.825,466.1113
12.849,516.08818
12.877,866.20628
12.888,626.14854
12.905,448.10068
12.949,772.20677
12.949,840.19401
12.958,390.18893
12.989,640.22185
12.99,776.19667
12.99,708.2093
13.04,402.15202
13.042,448.15822
13.044,516.14555
13.057,274.01476
13.059,372.10547
13.068,458.14252
13.117,594.15889
13.126,372.14182
13.127,440.12947
13.151,596.17406
13.171,328.11564
13.192,407.17253
13.198,968.24137
13.198,900.25396
13.208,612.16932
13.252,402.15257
13.26,702.13875
13.271,738.20143
13.289,634.15124
13.323,938.23079
13.326,870.24348
13.398,440.18946
13.429,518.10376
13.433,500.09328
13.434,644.15932
13.462,516.14555
13.463,402.152
13.495,450.11638
13.525,624.06822
13.527,556.08058
13.528,550.06392
13.53,488.09317
13.531,954.20414
13.531,356.1105
13.532,466.11127
13.532,424.09816
13.533,898.21723
13.533,580.1042
13.534,584.04725
13.566,870.24348
13.582,376.13676
13.583,320.05305
13.59,450.13634
13.598,432.10562
13.607,472.11931
13.608,540.10701
13.613,405.13502
13.659,260.06845
13.66,450.11633
13.66,518.10388
13.661,288.06338
13.662,586.09136
13.694,578.14259
13.696,636.18794
13.697,600.12472
13.698,668.11221
13.7,368.11055
13.756,866.20637
13.768,386.12121
13.783,642.18001
13.8,434.2156
13.816,444.064
13.819,376.07685
13.823,354.09488
13.825,192.06343
13.827,456.16077
13.827,388.17317
13.843,410.1187
13.844,228.09974
13.844,426.12961
13.845,436.15796
13.845,342.13121
13.849,504.14564
13.876,428.18945
13.892,432.19968
13.893,427.14796
13.914,564.24199
13.944,672.1494
13.944,604.162
13.946,490.16899
13.951,756.21174
13.967,462.11639
13.992,530.10402
13.997,462.17389
13.998,358.12627
14.001,406.13627
14.001,461.04957
14.005,472.11934
14.039,664.16204
14.039,596.17453
14.044,504.08824
14.046,346.08977
14.052,360.14184
14.091,356.11052
14.1,522.20967
14.1,806.1888
14.107,738.20143
14.123,678.21629
14.127,626.18516
14.129,704.17545
14.154,984.31145
14.16,636.18788
14.165,640.13072
14.165,522.19539
14.166,625.11836
14.176,330.09498
14.182,337.11601
14.183,359.09796
14.186,427.08551
14.196,870.24348
14.202,608.17457
14.209,704.17546
14.228,382.1838
14.245,450.11637
14.249,518.10395
14.265,378.18887
14.287,404.07187
14.289,426.05383
14.294,312.06082
14.295,290.079
14.295,246.08922
14.298,812.27452
14.327,585.18483
14.363,341.11078
14.399,884.25926
14.535,566.22146
14.541,338.10007
14.541,360.08199
14.548,192.06343
14.548,586.09155
14.549,450.11629
14.549,518.10395
14.573,496.1219
14.58,340.11554
14.585,378.18887
14.594,472.11958
14.595,494.10625
14.598,1008.21777
14.602,390.18891
14.605,629.19591
14.623,258.05282
14.666,330.09492
14.672,850.19624
14.726,378.18886
14.744,458.17644
14.748,390.18891
14.76,728.25343
14.79,411.11655
14.796,500.21077
14.844,320.05306
14.844,482.10617
14.859,612.16939
14.907,704.17561
14.907,570.20591
14.915,582.2162
14.917,967.28959
14.919,442.20505
14.955,437.16142
14.993,368.16807
15.05,462.17385
15.057,602.08638
15.059,534.09892
15.06,468.11626
15.122,536.17448
15.122,604.16194
15.125,672.14946
15.151,738.20143
15.151,806.18877
15.174,866.20637
15.177,888.18825
15.245,472.11938
15.247,404.1317
15.25,424.07707
15.252,402.09506
15.263,724.24318
15.27,626.18519
15.292,394.18382
15.303,324.08439
15.311,434.14244
15.316,1108.30697
15.333,302.04257
15.396,334.1626
15.42,352.11555
15.437,566.18499
15.511,416.16829
15.546,460.15577
15.547,392.1681
15.573,850.19624
15.58,764.19581
15.635,1156.28474
15.638,628.15977
15.639,492.18455
15.639,560.17201
15.691,756.21187
15.692,824.19926
15.696,596.1956
15.699,1154.2698
15.705,320.05304
15.706,338.10008
15.709,480.12692
15.711,394.18389
15.711,548.1147
15.771,388.13472
15.772,320.14691
15.777,154.02667
15.812,378.18887
15.815,440.18919
15.854,626.14866
15.854,762.12356
15.855,694.13606
15.869,452.153
15.887,434.14244
15.925,378.18886
15.981,476.18956
16.037,304.05813
16.057,368.11052
16.073,480.09057
16.077,548.0782
16.235,548.07832
16.235,480.09057
16.242,524.22609
16.274,454.20511
16.321,464.15303
16.327,428.12936
16.327,360.14178
16.332,320.05302
16.347,510.23157
16.357,1442.33365
16.358,446.08496
16.424,428.20462
16.43,368.11052
16.436,447.9771
16.448,469.95912
16.468,596.13826
16.469,732.11311
16.47,664.12553
16.516,596.19374
16.539,582.15877
16.542,596.19448
16.551,664.18293
16.553,464.22602
16.561,392.20454
16.635,522.19525
16.704,764.19575
16.75,392.20454
16.762,770.22737
16.766,450.11619
16.768,518.10387
16.769,586.09141
16.827,463.10916
16.827,531.09675
16.828,395.1215
16.828,138.03179
16.845,378.18887
16.861,442.18399
16.861,510.17155
16.907,522.10129
16.908,566.09116
16.91,588.07316
16.969,394.18385
17.002,580.14329
17.007,576.27873
17.172,464.1532
17.2,426.1502
17.2,404.16818
17.204,566.20039
17.207,450.07994
17.208,568.2159
17.293,713.07759
17.295,740.11187
17.295,678.14104
17.297,610.15385
17.297,728.08974
17.298,746.12873
17.302,493.1199
17.302,425.13226
17.378,446.08491
17.408,396.19958
17.43,180.04238
17.431,437.13223
17.432,573.10728
17.432,505.11987
17.469,450.11622
17.474,451.11961
17.475,518.10386
17.482,404.16816
17.517,598.19024
17.534,640.16444
17.572,578.14274
17.585,548.24733
17.586,467.14295
17.59,612.22685
17.622,574.21663
17.646,536.1898
17.676,472.19453
17.767,464.09552
17.768,532.0832
17.789,580.1432
17.821,452.11081
17.821,594.15889
17.832,480.09062
17.84,442.18408
17.955,510.19269
17.955,396.19962
17.956,464.09555
17.956,912.19655
17.957,532.08321
17.959,448.10068
17.96,600.07072
17.961,516.08821
18.008,660.20582
18.102,432.12681
18.124,356.11055
18.199,459.1201
18.217,524.22603
18.238,304.05823
18.296,456.22085
18.389,416.2046
18.448,397.13722
18.473,302.13648
18.573,520.19478
18.592,418.18391
18.594,480.18445
18.606,434.08493
18.612,504.22087
18.616,436.13682
18.639,662.14643
18.639,594.1589
18.692,624.16946
18.733,550.09635
18.735,506.10633
18.855,652.16456
18.861,448.10064
18.879,760.14424
18.879,692.15675
18.879,624.16945
18.926,434.085
18.931,654.18025
19.07,420.1996
19.323,628.07832
19.324,516.12694
19.324,538.1089
19.325,354.09488
19.325,606.09642
19.346,458.1791
19.349,516.08823
19.349,448.10064
19.411,510.21039
19.42,374.19396
19.48,368.01999
19.503,524.06077
19.504,489.1248
19.504,551.09559
19.504,557.11229
19.505,164.04746
19.505,232.03478
19.505,421.13731
19.507,625.09982
19.507,120.05755
19.52,372.17822
19.522,535.13057
19.541,272.06851
19.543,434.12122
19.551,574.21653
19.578,280.13104
19.598,334.06875
19.601,478.1113
19.65,374.19396
19.678,430.09003
19.709,432.10565
19.813,434.12129
19.828,574.09373
19.829,506.10631
19.829,164.04746
19.829,642.08125
19.829,421.13731
19.929,538.16911
19.97,481.15865
19.971,549.14636
20.103,655.1107
20.105,587.12315
20.106,519.13554
20.106,451.14797
20.107,462.11627
20.107,194.05795
20.122,430.09
20.141,286.04777
20.156,732.13319
20.162,374.19398
20.363,442.18163
20.363,374.19396
20.491,520.12212
20.59,504.12468
20.591,436.13701
20.936,288.06334
20.937,260.06843
20.945,318.03731
21.124,184.11001
21.125,555.19299
21.125,623.18065
21.125,441.20004
21.207,494.21552
21.242,678.29066
21.319,368.0201
21.391,434.12134
21.473,420.14215
21.571,552.18477
21.575,489.22129
21.599,452.11087
21.617,434.12132
21.696,490.11134
